name	bio.tools_id	id	description	tool_shed_repository	panel_section_name	edam_topics	edam_operations		
Join two files		toolshed.g2.bx.psu.edu/repos/bgruening/join_files_on_column_fuzzy/join_files_on_column_fuzzy/1.0.1	on column allowing a small difference	join_files_on_column_fuzzy	Text Manipulation		
Query Tabular		toolshed.g2.bx.psu.edu/repos/iuc/query_tabular/query_tabular/3.3.0	using sqlite sql	query_tabular	Text Manipulation		
Join		toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_easyjoin_tool/1.1.2	two files	text_processing	Text Manipulation		
Replace Text		toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_replace_in_line/1.1.2	in entire line	text_processing	Text Manipulation		
Replace chromosome names		toolshed.g2.bx.psu.edu/repos/earlhaminst/replace_chromosome_names/replace_chromosome_names/0.1	in a tabular dataset using a mapping table	replace_chromosome_names	Text Manipulation		
SQLite to tabular		toolshed.g2.bx.psu.edu/repos/iuc/sqlite_to_tabular/sqlite_to_tabular/2.0.0	for SQL query	sqlite_to_tabular	Text Manipulation		
Unique lines		toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_uniq_tool/1.1.1	assuming sorted input file	text_processing	Text Manipulation		
Filter Tabular		toolshed.g2.bx.psu.edu/repos/iuc/filter_tabular/filter_tabular/2.0.0		filter_tabular	Text Manipulation		
Replace Text		toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_replace_in_column/1.1.3	in a specific column	text_processing	Text Manipulation		
JQ		toolshed.g2.bx.psu.edu/repos/iuc/jq/jq/1.0	process JSON	jq	Text Manipulation		
cast		toolshed.g2.bx.psu.edu/repos/iuc/reshape2_cast/cast/1.4.2	expand combinations of variables:values to columnar format	reshape2_cast	Text Manipulation		
Sort		toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sort_header_tool/1.1.1	data in ascending or descending order	text_processing	Text Manipulation		
melt		toolshed.g2.bx.psu.edu/repos/iuc/reshape2_melt/melt/1.4.2	collapse combinations of variables:values to single lines	reshape2_melt	Text Manipulation		
Base Coverage		toolshed.g2.bx.psu.edu/repos/devteam/basecoverage/gops_basecoverage_1/1.0.0	of all intervals	basecoverage	Operate on Genomic Intervals		
Search in textfiles		toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_grep_tool/1.1.1	(grep)	text_processing	Text Manipulation		
Text transformation		toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sed_tool/1.1.1	with sed	text_processing	Text Manipulation		
Unfold		toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_unfold_column_tool/1.1.1	columns from a table	text_processing	Text Manipulation		
Subtract		toolshed.g2.bx.psu.edu/repos/devteam/subtract/gops_subtract_1/1.0.0	the intervals of two datasets	subtract	Join, Subtract and Group		
Complement		toolshed.g2.bx.psu.edu/repos/devteam/complement/gops_complement_1/1.0.0	intervals of a dataset	complement	Operate on Genomic Intervals		
Cluster		toolshed.g2.bx.psu.edu/repos/devteam/cluster/gops_cluster_1/1.0.0	the intervals of a dataset	cluster	Operate on Genomic Intervals		
Rebase GFF3 features		toolshed.g2.bx.psu.edu/repos/iuc/gff3_rebase/gff3.rebase/1.2	against parent features	gff3_rebase	Text Manipulation		
Remove columns		toolshed.g2.bx.psu.edu/repos/iuc/column_remove_by_header/column_remove_by_header/0.0.1	by heading	column_remove_by_header	Text Manipulation		
Sort Column Order		toolshed.g2.bx.psu.edu/repos/iuc/column_order_header_sort/column_order_header_sort/0.0.1	by heading	column_order_header_sort	Text Manipulation		
Unique		toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sorted_uniq/1.1.0	occurrences of each record	text_processing	Text Manipulation		
Select first		toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_head_tool/1.1.0	lines from a dataset (head)	text_processing	Text Manipulation		
Multi-Join		toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_multijoin_tool/1.1.1	(combine multiple files)	text_processing	Text Manipulation		
Select last		toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_tail_tool/1.1.0	lines from a dataset (tail)	text_processing	Text Manipulation		
Advanced Cut		toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_cut_tool/1.1.0	columns from a table (cut)	text_processing	Text Manipulation		
Create text file		toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_text_file_with_recurring_lines/1.1.0	with recurring lines	text_processing	Text Manipulation		
tac		toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_tac/1.1.0	reverse a file (reverse cat)	text_processing	Text Manipulation		
Coverage		toolshed.g2.bx.psu.edu/repos/devteam/coverage/gops_coverage_1/1.0.0	of a set of intervals on second set of intervals	coverage	Text Manipulation		
Regex Replace		toolshed.g2.bx.psu.edu/repos/kellrott/regex_replace/regex_replace/1.0.0	Regular Expression replacement using the Python re module	regex_replace	Text Manipulation		
Arithmetic Operations		toolshed.g2.bx.psu.edu/repos/devteam/tables_arithmetic_operations/tables_arithmetic_operations/1.0.0	on tables	tables_arithmetic_operations	Text Manipulation		
Merge		toolshed.g2.bx.psu.edu/repos/devteam/merge/gops_merge_1/1.0.0	the overlapping intervals of a dataset	merge	Text Manipulation		
Intersect		toolshed.g2.bx.psu.edu/repos/devteam/intersect/gops_intersect_1/1.0.0	the intervals of two datasets	intersect	Text Manipulation		
Fetch closest non-overlapping feature		toolshed.g2.bx.psu.edu/repos/devteam/flanking_features/flanking_features_1/4.0.1	for every interval	flanking_features	Text Manipulation		
Get flanks		toolshed.g2.bx.psu.edu/repos/devteam/get_flanks/get_flanks1/1.0.0	returns flanking region/s for every gene	get_flanks	Text Manipulation		
Subtract Whole Dataset		toolshed.g2.bx.psu.edu/repos/devteam/subtract_query/subtract_query1/0.1	from another dataset	subtract_query	Text Manipulation		
Unique		toolshed.g2.bx.psu.edu/repos/bgruening/unique/bg_uniq/0.3	occurrences of each record	unique	Text Manipulation		
Add column		toolshed.g2.bx.psu.edu/repos/devteam/add_value/addValue/1.0.0	to an existing dataset	add_value	Text Manipulation		
GffCompare		toolshed.g2.bx.psu.edu/repos/iuc/gffcompare/gffcompare/0.11.2	compare assembled transcripts to a reference annotation	gffcompare	BED		
Filter FASTA		toolshed.g2.bx.psu.edu/repos/galaxyp/filter_by_fasta_ids/filter_by_fasta_ids/2.1	on the headers and/or the sequences	filter_by_fasta_ids	Filter and Sort		
Column arrange		toolshed.g2.bx.psu.edu/repos/bgruening/column_arrange_by_header/bg_column_arrange_by_header/0.2	by header name	column_arrange_by_header	Filter and Sort		
XPath		toolshed.g2.bx.psu.edu/repos/iuc/xpath/xpath/1.0.0	compute xpath expressions on XML data	xpath	Filter and Sort		
Sub-sample sequences files		toolshed.g2.bx.psu.edu/repos/peterjc/sample_seqs/sample_seqs/0.2.5	e.g. to reduce coverage	sample_seqs	Filter and Sort		
Filter sequences by ID		toolshed.g2.bx.psu.edu/repos/peterjc/seq_filter_by_id/seq_filter_by_id/0.2.7	from a tabular file	seq_filter_by_id	Filter and Sort		
find in reference		toolshed.g2.bx.psu.edu/repos/jjohnson/find_in_reference/find_in_reference/0.0.3	filter peptides that are present in proteins	find_in_reference	Filter and Sort		
Column join		toolshed.g2.bx.psu.edu/repos/iuc/collection_column_join/collection_column_join/0.0.3	on multiple datasets	collection_column_join	Join, Subtract and Group		
Transpose		toolshed.g2.bx.psu.edu/repos/iuc/datamash_transpose/datamash_transpose/1.1.0	rows/columns in a tabular file	datamash_transpose	Join, Subtract and Group		
Reverse		toolshed.g2.bx.psu.edu/repos/iuc/datamash_reverse/datamash_reverse/1.1.0	columns in a tabular file	datamash_reverse	Join, Subtract and Group		
Datamash		toolshed.g2.bx.psu.edu/repos/iuc/datamash_ops/datamash_ops/1.1.0	(operations on tabular data)	datamash_ops	Join, Subtract and Group		
Datamash		toolshed.g2.bx.psu.edu/repos/iuc/datamash_ops/datamash_ops/datamash_ops/1.0.6	(operations on tabular data)	datamash_ops	Join, Subtract and Group		
Subtract		toolshed.g2.bx.psu.edu/repos/devteam/subtract/gops_subtract_1/1.0.0	the intervals of two datasets	subtract	Join, Subtract and Group		
CrossMap BAM		toolshed.g2.bx.psu.edu/repos/iuc/crossmap_bam/crossmap_bam/0.6.1+galaxy0	Convert genome coordinates or annotation files between genome assemblies	crossmap_bam	Convert Formats		
Stitch Gene blocks		toolshed.g2.bx.psu.edu/repos/iuc/genebed_maf_to_fasta/GeneBed_Maf_Fasta2/1.0.1+galaxy0	given a set of coding exon intervals	genebed_maf_to_fasta	Convert Formats		
ab1 to FASTQ converter		toolshed.g2.bx.psu.edu/repos/ecology/ab1_fastq_converter/ab1_fastq_converter/1.20.0		ab1_fastq_converter	Convert Formats		
mz to sqlite		toolshed.g2.bx.psu.edu/repos/galaxyp/mz_to_sqlite/mz_to_sqlite/2.1.1+galaxy0	Extract mzIdentML and associated proteomics datasets into a SQLite DB	mz_to_sqlite	Convert Formats		
Convert		toolshed.g2.bx.psu.edu/repos/iuc/biom_convert/biom_convert/2.1.10+galaxy0	between BIOM table formats	biom_convert	Convert Formats		
Convert BAM		toolshed.g2.bx.psu.edu/repos/iuc/bioext_bam2msa/bioext_bam2msa/0.20.4+galaxy0	to FASTA multiple sequence alignment	bioext_bam2msa	Convert Formats		
samtools BAM to CRAM		toolshed.g2.bx.psu.edu/repos/iuc/samtools_bam_to_cram/samtools_bam_to_cram/1.13	convert BAM alignments to CRAM format	samtools_bam_to_cram	Convert Formats		
CrossMap region		toolshed.g2.bx.psu.edu/repos/iuc/crossmap_region/crossmap_region/0.6.1+galaxy0	Convert genome coordinates or annotation files between genome assemblies	crossmap_region	Convert Formats		
idpQuery		toolshed.g2.bx.psu.edu/repos/galaxyp/idpquery/idpquery/3.0.21142.0	Creates text reports from idpDB files.	idpquery	Convert Formats		
Thermo		toolshed.g2.bx.psu.edu/repos/galaxyp/thermo_raw_file_converter/thermo_raw_file_converter/1.3.4+galaxy0	RAW file converter	thermo_raw_file_converter	Convert Formats		
Tabular-to-FASTA		toolshed.g2.bx.psu.edu/repos/devteam/tabular_to_fasta/tab2fasta/1.1.0	converts tabular file to FASTA format	tabular_to_fasta	Convert Formats		
bax2bam		toolshed.g2.bx.psu.edu/repos/iuc/bax2bam/bax2bam/0.0.11+galaxy0	converts PacBio basecall format (bax.h5) into BAM	bax2bam	Convert Formats		
CrossMap BED		toolshed.g2.bx.psu.edu/repos/iuc/crossmap_bed/crossmap_bed/0.6.1+galaxy0	Convert genome coordinates or annotation files between genome assemblies	crossmap_bed	Convert Formats		
CrossMap GFF		toolshed.g2.bx.psu.edu/repos/iuc/crossmap_gff/crossmap_gff/0.6.1+galaxy0	Convert genome coordinates or annotation files between genome assemblies	crossmap_gff	Convert Formats		
CrossMap VCF		toolshed.g2.bx.psu.edu/repos/iuc/crossmap_vcf/crossmap_vcf/0.6.1+galaxy0	Convert genome coordinates or annotation files between genome assemblies	crossmap_vcf	Convert Formats		
CrossMap Wig		toolshed.g2.bx.psu.edu/repos/iuc/crossmap_wig/crossmap_wig/0.6.1+galaxy0	Convert genome coordinates or annotation files between genome assemblies	crossmap_wig	Convert Formats		
Compress file(s)		toolshed.g2.bx.psu.edu/repos/iuc/compress_file/compress_file/0.1.0		compress_file	Convert Formats		
FASTA-to-Tabular		toolshed.g2.bx.psu.edu/repos/devteam/fasta_to_tabular/fasta2tab/1.1.0	converter	fasta_to_tabular	Convert Formats		
Tabular to FASTQ		toolshed.g2.bx.psu.edu/repos/devteam/tabular_to_fastq/tabular_to_fastq/1.0.0	converter	tabular_to_fastq	Convert Formats		
GFA to FASTA		toolshed.g2.bx.psu.edu/repos/iuc/gfa_to_fa/gfa_to_fa/0.1.2	Convert Graphical Fragment Assembly files to FASTA format	gfa_to_fa	Convert Formats		
msconvert		toolshed.g2.bx.psu.edu/repos/galaxyp/msconvert/msconvert/3.0.20287.2	Convert and/or filter mass spectrometry files	msconvert	Convert Formats		
Extract MAF blocks		toolshed.g2.bx.psu.edu/repos/iuc/interval2maf/Interval2Maf1/1.0.1+galaxy0	given a set of genomic intervals	interval2maf	Convert Formats		
bed to protein map		toolshed.g2.bx.psu.edu/repos/galaxyp/bed_to_protein_map/bed_to_protein_map/0.2.0	genomic location of proteins for MVP	bed_to_protein_map	Convert Formats		
Convert gffCompare annotated GTF to BED		toolshed.g2.bx.psu.edu/repos/galaxyp/gffcompare_to_bed/gffcompare_to_bed/0.2.1	for StringTie results	gffcompare_to_bed	Convert Formats		
Map peptides to a bed file		toolshed.g2.bx.psu.edu/repos/galaxyp/map_peptides_to_bed/map_peptides_to_bed/0.2	for viewing in a genome browser	map_peptides_to_bed	Convert Formats		
Resize coordinate window		toolshed.g2.bx.psu.edu/repos/iuc/resize_coordinate_window/resize_coordinate_window/1.0.2	of GFF data	resize_coordinate_window	Convert Formats		
msms_extractor		toolshed.g2.bx.psu.edu/repos/galaxyp/msms_extractor/msms_extractor/1.0.0	Extract MS/MS scans from the mzML file(s) based on PSM report	msms_extractor	Convert Formats		
Image Montage		toolshed.g2.bx.psu.edu/repos/bgruening/graphicsmagick_image_montage/graphicsmagick_image_montage/1.3.31+galaxy1		graphicsmagick_image_montage	Convert Formats		
Image Converter		toolshed.g2.bx.psu.edu/repos/bgruening/graphicsmagick_image_convert/graphicsmagick_image_convert/1.3.31+galaxy1		graphicsmagick_image_convert	Convert Formats		
Create InterMine Interchange		toolshed.g2.bx.psu.edu/repos/iuc/intermine_galaxy_exchange/galaxy_intermine_exchange/0.0.1	Dataset	intermine_galaxy_exchange	Convert Formats		
idconvert		toolshed.g2.bx.psu.edu/repos/galaxyp/msconvert/idconvert/3.0.0	Convert mass spectrometry identification files	msconvert	Convert Formats		
msconvert Subset Peak List		toolshed.g2.bx.psu.edu/repos/galaxyp/msconvert/msconvert_subset/0.3.0	against list of scan numbers or indices.	msconvert	Convert Formats		
idconvert		toolshed.g2.bx.psu.edu/repos/galaxyp/idconvert/idconvert/3.0.0	Convert mass spectrometry identification files	idconvert	Convert Formats		
Convert GTF to BED12		toolshed.g2.bx.psu.edu/repos/iuc/gtftobed12/gtftobed12/357		gtftobed12	Convert Formats		
Convert BAM to ScIdx		toolshed.g2.bx.psu.edu/repos/iuc/bam_to_scidx/bam_to_scidx/1.0.1		bam_to_scidx	Convert Formats		
bigWigToBedGraph		toolshed.g2.bx.psu.edu/repos/bgruening/bigwig_to_bedgraph/bigwig_to_bedgraph/0.1.0	Convert from bigWig to bedGraph format	bigwig_to_bedgraph	Convert Formats		
Filter sequences by mapping		toolshed.g2.bx.psu.edu/repos/peterjc/seq_filter_by_mapping/seq_filter_by_mapping/0.0.7	from SAM/BAM file	seq_filter_by_mapping	FASTA/FASTQ		
FASTQ splitter		toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_splitter/fastq_paired_end_splitter/1.1.5+galaxy1	on joined paired end reads	fastq_paired_end_splitter	FASTA/FASTQ		
fastp		toolshed.g2.bx.psu.edu/repos/iuc/fastp/fastp/0.23.2+galaxy0	- fast all-in-one preprocessing for FASTQ files	fastp	FASTA/FASTQ		
Clip		toolshed.g2.bx.psu.edu/repos/devteam/fastx_clipper/cshl_fastx_clipper/1.0.3+galaxy0	adapter sequences	fastx_clipper	FASTA/FASTQ		
Fasta Statistics		toolshed.g2.bx.psu.edu/repos/iuc/fasta_stats/fasta-stats/2.0	display summary statistics for a FASTA file	fasta_stats	FASTA/FASTQ		
RNA-seq Rcorrector		toolshed.g2.bx.psu.edu/repos/iuc/rcorrector/rcorrector/1.0.3+galaxy1	a kmer-based error correction method for RNA-seq data	rcorrector	FASTA/FASTQ		
FASTQE		toolshed.g2.bx.psu.edu/repos/iuc/fastqe/fastqe/0.2.6+galaxy2	visualize fastq files with emoji's 🧬😎	fastqe	FASTA/FASTQ		
filtlong		toolshed.g2.bx.psu.edu/repos/iuc/filtlong/filtlong/0.2.1+galaxy0	Filtering long reads by quality	filtlong	FASTA/FASTQ		
Trimmomatic		toolshed.g2.bx.psu.edu/repos/pjbriggs/trimmomatic/trimmomatic/0.38.1	flexible read trimming tool for Illumina NGS data	trimmomatic	FASTA/FASTQ		
Select high quality segments		toolshed.g2.bx.psu.edu/repos/devteam/short_reads_trim_seq/trim_reads/1.0.0		short_reads_trim_seq	FASTA/FASTQ		
Build base quality distribution		toolshed.g2.bx.psu.edu/repos/devteam/short_reads_figure_score/quality_score_distribution/1.0.2		short_reads_figure_score	FASTA/FASTQ		
Compute sequence length		toolshed.g2.bx.psu.edu/repos/devteam/fasta_compute_length/fasta_compute_length/1.0.3		fasta_compute_length	FASTA/FASTQ		
Concatenate		toolshed.g2.bx.psu.edu/repos/devteam/fasta_concatenate_by_species/fasta_concatenate0/0.0.1	FASTA alignment by species	fasta_concatenate_by_species	FASTA/FASTQ		
FASTQ Trimmer		toolshed.g2.bx.psu.edu/repos/devteam/fastq_trimmer/fastq_trimmer/1.1.5	by column	fastq_trimmer	FASTA/FASTQ		
FASTQ Quality Trimmer		toolshed.g2.bx.psu.edu/repos/devteam/fastq_trimmer_by_quality/fastq_quality_trimmer/1.1.5	by sliding window	fastq_trimmer_by_quality	FASTA/FASTQ		
FASTQ to FASTA		toolshed.g2.bx.psu.edu/repos/devteam/fastqtofasta/fastq_to_fasta_python/1.1.5	converter	fastqtofasta	FASTA/FASTQ		
FASTQ Summary Statistics		toolshed.g2.bx.psu.edu/repos/devteam/fastq_stats/fastq_stats/1.1.5	by column	fastq_stats	FASTA/FASTQ		
FASTQ to Tabular		toolshed.g2.bx.psu.edu/repos/devteam/fastq_to_tabular/fastq_to_tabular/1.1.5	converter	fastq_to_tabular	FASTA/FASTQ		
Combine FASTA and QUAL		toolshed.g2.bx.psu.edu/repos/devteam/fastq_combiner/fastq_combiner/1.1.5	into FASTQ	fastq_combiner	FASTA/FASTQ		
Filter FASTQ		toolshed.g2.bx.psu.edu/repos/devteam/fastq_filter/fastq_filter/1.1.5	reads by quality score and length	fastq_filter	FASTA/FASTQ		
FASTQ Groomer		toolshed.g2.bx.psu.edu/repos/devteam/fastq_groomer/fastq_groomer/1.1.5	convert between various FASTQ quality formats	fastq_groomer	FASTA/FASTQ		
Manipulate FASTQ		toolshed.g2.bx.psu.edu/repos/devteam/fastq_manipulation/fastq_manipulation/1.1.5	reads on various attributes	fastq_manipulation	FASTA/FASTQ		
FASTQ Masker		toolshed.g2.bx.psu.edu/repos/devteam/fastq_masker_by_quality/fastq_masker_by_quality/1.1.5	by quality score	fastq_masker_by_quality	FASTA/FASTQ		
FASTQ de-interlacer		toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_deinterlacer/fastq_paired_end_deinterlacer/1.1.5	on paired end reads	fastq_paired_end_deinterlacer	FASTA/FASTQ		
FASTQ interlacer		toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_interlacer/fastq_paired_end_interlacer/1.2.0.1+galaxy0	on paired end reads	fastq_paired_end_interlacer	FASTA/FASTQ		
